canton,population,year
zh,1143249.0,1991
be,942425.0,1991
lu,321424.0,1991
ur,35029.0,1991
sz,111075.0,1991
ow,29017.0,1991
nw,33678.0,1991
gl,38200.0,1991
zg,84412.0,1991
fr,206674.0,1991
so,229086.0,1991
bl,193828.0,1991
bs,231303.0,1991
sa,71677.0,1991
ar,51553.0,1991
ai,14108.0,1991
sg,421176.0,1991
gr,173523.0,1991
ag,498035.0,1991
tg,206320.0,1991
ti,286744.0,1991
vd,577524.0,1991
vs,251962.0,1991
ne,159722.0,1991
ge,378655.0,1991
zh,1151718.0,1992
be,949770.0,1992
lu,326283.0,1992
ur,35363.0,1992
sz,113553.0,1992
ow,29712.0,1992
nw,34344.0,1992
gl,38720.0,1992
zg,85882.0,1992
fr,210783.0,1992
so,232600.0,1992
bl,195647.0,1992
bs,232333.0,1992
sa,72457.0,1992
ar,52437.0,1992
ai,14251.0,1992
sg,427648.0,1992
gr,176188.0,1992
ag,506818.0,1992
tg,210542.0,1992
ti,290000.0,1992
vd,587283.0,1992
vs,257730.0,1992
ne,161774.0,1992
ge,381404.0,1992
zh,1158077.0,1993
be,953458.0,1993
lu,331830.0,1993
ur,35544.0,1993
sz,116090.0,1993
ow,30247.0,1993
nw,34866.0,1993
gl,38976.0,1993
zg,87065.0,1993
fr,214555.0,1993
so,234878.0,1993
bl,196634.0,1993
bs,233151.0,1993
sa,73028.0,1993
ar,53449.0,1993
ai,14548.0,1993
sg,432819.0,1993
gr,179279.0,1993
ag,511979.0,1993
tg,213167.0,1993
ti,294108.0,1993
vd,593007.0,1993
vs,262389.0,1993
ne,162581.0,1993
ge,383911.0,1993
zh,1162083.0,1994
be,941147.0,1994
lu,335385.0,1994
ur,35727.0,1994
sz,118528.0,1994
ow,30837.0,1994
nw,35393.0,1994
gl,39138.0,1994
zg,88583.0,1994
fr,218704.0,1994
so,236389.0,1994
bl,197403.0,1994
bs,250380.0,1994
sa,73588.0,1994
ar,54087.0,1994
ai,14680.0,1994
sg,436967.0,1994
gr,181957.0,1994
ag,518945.0,1994
tg,217129.0,1994
ti,297955.0,1994
vd,596736.0,1994
vs,266713.0,1994
ne,163884.0,1994
ge,387606.0,1994
zh,1168567.0,1995
be,941747.0,1995
lu,337941.0,1995
ur,35933.0,1995
sz,120576.0,1995
ow,30958.0,1995
nw,35983.0,1995
gl,39388.0,1995
zg,90412.0,1995
fr,222227.0,1995
so,237338.0,1995
bl,197054.0,1995
bs,251259.0,1995
sa,73894.0,1995
ar,54227.0,1995
ai,14742.0,1995
sg,440744.0,1995
gr,184155.0,1995
ag,523114.0,1995
tg,220335.0,1995
ti,302131.0,1995
vd,602099.0,1995
vs,269341.0,1995
ne,164176.0,1995
ge,391699.0,1995
zh,1175457.0,1996
be,941879.0,1996
lu,340536.0,1996
ur,35876.0,1996
sz,122409.0,1996
ow,31310.0,1996
nw,36466.0,1996
gl,39410.0,1996
zg,92392.0,1996
fr,224552.0,1996
so,239264.0,1996
bl,195759.0,1996
bs,252331.0,1996
sa,74035.0,1996
ar,54104.0,1996
ai,14750.0,1996
sg,442350.0,1996
gr,185063.0,1996
ag,528887.0,1996
tg,223372.0,1996
ti,305199.0,1996
vd,605677.0,1996
vs,271291.0,1996
ne,165258.0,1996
ge,395466.0,1996
zh,1178848.0,1997
be,940928.0,1997
lu,341809.0,1997
ur,35861.0,1997
sz,123788.0,1997
ow,31440.0,1997
nw,36794.0,1997
gl,39161.0,1997
zg,93737.0,1997
fr,227866.0,1997
so,240777.0,1997
bl,194913.0,1997
bs,253911.0,1997
sa,73835.0,1997
ar,54136.0,1997
ai,14833.0,1997
sg,443839.0,1997
gr,185999.0,1997
ag,531665.0,1997
tg,224822.0,1997
ti,304830.0,1997
vd,606471.0,1997
vs,272315.0,1997
ne,165232.0,1997
ge,394588.0,1997
zh,1181614.0,1998
be,938647.0,1998
lu,342916.0,1998
ur,35769.0,1998
sz,125149.0,1998
ow,31831.0,1998
nw,37232.0,1998
gl,38735.0,1998
zg,95098.0,1998
fr,229947.0,1998
so,241559.0,1998
bl,193053.0,1998
bs,255305.0,1998
sa,73741.0,1998
ar,54011.0,1998
ai,14887.0,1998
sg,443880.0,1998
gr,185532.0,1998
ag,534028.0,1998
tg,225395.0,1998
ti,305588.0,1998
vd,608153.0,1998
vs,273362.0,1998
ne,165410.0,1998
ge,396659.0,1998
zh,1187609.0,1999
be,941144.0,1999
lu,343254.0,1999
ur,35612.0,1999
sz,126479.0,1999
ow,31989.0,1999
nw,37320.0,1999
gl,38698.0,1999
zg,96517.0,1999
fr,232086.0,1999
so,243450.0,1999
bl,190505.0,1999
bs,256761.0,1999
sa,73725.0,1999
ar,53816.0,1999
ai,14873.0,1999
sg,444891.0,1999
gr,186118.0,1999
ag,536462.0,1999
tg,226479.0,1999
ti,306179.0,1999
vd,611613.0,1999
vs,274458.0,1999
ne,165594.0,1999
ge,398910.0,1999
zh,1198569.0,2000
be,943427.0,2000
lu,345357.0,2000
ur,35487.0,2000
sz,128248.0,2000
ow,32225.0,2000
nw,37657.0,2000
gl,38708.0,2000
zg,97758.0,2000
fr,234307.0,2000
so,243908.0,2000
bl,188458.0,2000
bs,258602.0,2000
sa,73552.0,2000
ar,53737.0,2000
ai,14946.0,2000
sg,447609.0,2000
gr,186026.0,2000
ag,540639.0,2000
tg,227285.0,2000
ti,308498.0,2000
vd,616275.0,2000
vs,275632.0,2000
ne,165649.0,2000
ge,403067.0,2000
zh,1209672.0,2001
be,944024.0,2001
lu,346473.0,2001
ur,35190.0,2001
sz,128855.0,2001
ow,32356.0,2001
nw,37810.0,2001
gl,38196.0,2001
zg,99714.0,2001
fr,237044.0,2001
so,243668.0,2001
bl,187422.0,2001
bs,259634.0,2001
sa,73025.0,2001
ar,53479.0,2001
ai,15012.0,2001
sg,450239.0,2001
gr,185889.0,2001
ag,543685.0,2001
tg,227481.0,2001
ti,310834.0,2001
vd,619097.0,2001
vs,276314.0,2001
ne,165456.0,2001
ge,408146.0,2001
zh,1226931.0,2002
be,946310.0,2002
lu,350017.0,2002
ur,34992.0,2002
sz,131264.0,2002
ow,32678.0,2002
nw,38389.0,2002
gl,38216.0,2002
zg,101022.0,2002
fr,240339.0,2002
so,245264.0,2002
bl,186469.0,2002
bs,261083.0,2002
sa,73229.0,2002
ar,53138.0,2002
ai,14977.0,2002
sg,452904.0,2002
gr,185225.0,2002
ag,550298.0,2002
tg,228206.0,2002
ti,312528.0,2002
vd,624980.0,2002
vs,278419.0,2002
ne,166227.0,2002
ge,413618.0,2002
zh,1241312.0,2003
be,949590.0,2003
lu,351889.0,2003
ur,35209.0,2003
sz,133227.0,2003
ow,32961.0,2003
nw,38736.0,2003
gl,38322.0,2003
zg,102407.0,2003
fr,243400.0,2003
so,246280.0,2003
bl,186719.0,2003
bs,262949.0,2003
sa,73834.0,2003
ar,53097.0,2003
ai,14985.0,2003
sg,455251.0,2003
gr,185771.0,2003
ag,555782.0,2003
tg,229904.0,2003
ti,315256.0,2003
vd,631039.0,2003
vs,281345.0,2003
ne,166767.0,2003
ge,418747.0,2003
zh,1249893.0,2004
be,951957.0,2004
lu,353175.0,2004
ur,35118.0,2004
sz,134903.0,2004
ow,33142.0,2004
nw,39070.0,2004
gl,38502.0,2004
zg,103642.0,2004
fr,246656.0,2004
so,246807.0,2004
bl,186653.0,2004
bs,264402.0,2004
sa,73968.0,2004
ar,52976.0,2004
ai,15010.0,2004
sg,457289.0,2004
gr,186943.0,2004
ag,560674.0,2004
tg,231836.0,2004
ti,317315.0,2004
vd,639105.0,2004
vs,285008.0,2004
ne,167047.0,2004
ge,423993.0,2004
zh,1261810.0,2005
be,955378.0,2005
lu,354731.0,2005
ur,35083.0,2005
sz,135989.0,2005
ow,33162.0,2005
nw,39497.0,2005
gl,38317.0,2005
zg,105244.0,2005
fr,250377.0,2005
so,247379.0,2005
bl,186753.0,2005
bs,265305.0,2005
sa,73788.0,2005
ar,52841.0,2005
ai,15029.0,2005
sg,458821.0,2005
gr,187812.0,2005
ag,565122.0,2005
tg,232978.0,2005
ti,319931.0,2005
vd,647382.0,2005
vs,287976.0,2005
ne,167910.0,2005
ge,427396.0,2005
zh,1272590.0,2006
be,957064.0,2006
lu,356384.0,2006
ur,35087.0,2006
sz,137522.0,2006
ow,33269.0,2006
nw,39803.0,2006
gl,38173.0,2006
zg,106496.0,2006
fr,253954.0,2006
so,247937.0,2006
bl,185601.0,2006
bs,266089.0,2006
sa,73764.0,2006
ar,52561.0,2006
ai,15220.0,2006
sg,459999.0,2006
gr,187803.0,2006
ag,569344.0,2006
tg,234332.0,2006
ti,322276.0,2006
vd,654093.0,2006
vs,291575.0,2006
ne,168444.0,2006
ge,430638.0,2006
zh,1284052.0,2007
be,958897.0,2007
lu,359110.0,2007
ur,34948.0,2007
sz,138832.0,2007
ow,33755.0,2007
nw,40012.0,2007
gl,38084.0,2007
zg,107171.0,2007
fr,258252.0,2007
so,248613.0,2007
bl,184822.0,2007
bs,267166.0,2007
sa,73866.0,2007
ar,52509.0,2007
ai,15300.0,2007
sg,461810.0,2007
gr,187920.0,2007
ag,574813.0,2007
tg,235764.0,2007
ti,324851.0,2007
vd,662145.0,2007
vs,294608.0,2007
ne,168912.0,2007
ge,433235.0,2007
zh,1307567.0,2008
be,962982.0,2008
lu,363475.0,2008
ur,34989.0,2008
sz,141024.0,2008
ow,33997.0,2008
nw,40287.0,2008
gl,38237.0,2008
zg,109141.0,2008
fr,263241.0,2008
so,250240.0,2008
bl,185227.0,2008
bs,269145.0,2008
sa,74527.0,2008
ar,52654.0,2008
ai,15471.0,2008
sg,465937.0,2008
gr,188762.0,2008
ag,581562.0,2008
tg,238316.0,2008
ti,328580.0,2008
vd,672039.0,2008
vs,298580.0,2008
ne,169782.0,2008
ge,438177.0,2008
zh,1332727.0,2009
be,969299.0,2009
lu,368742.0,2009
ur,35162.0,2009
sz,143719.0,2009
ow,34429.0,2009
nw,40737.0,2009
gl,38370.0,2009
zg,110384.0,2009
fr,268537.0,2009
so,251830.0,2009
bl,186672.0,2009
bs,271214.0,2009
sa,75303.0,2009
ar,53054.0,2009
ai,15549.0,2009
sg,471152.0,2009
gr,190459.0,2009
ag,591632.0,2009
tg,241811.0,2009
ti,332736.0,2009
vd,688245.0,2009
vs,303241.0,2009
ne,170924.0,2009
ge,446106.0,2009
zh,1351297.0,2010
be,974235.0,2010
lu,372964.0,2010
ur,35335.0,2010
sz,144686.0,2010
ow,35032.0,2010
nw,40794.0,2010
gl,38479.0,2010
zg,110890.0,2010
fr,273159.0,2010
so,252748.0,2010
bl,187898.0,2010
bs,272815.0,2010
sa,75657.0,2010
ar,53043.0,2010
ai,15681.0,2010
sg,474676.0,2010
gr,191861.0,2010
ag,600040.0,2010
tg,244805.0,2010
ti,335720.0,2010
vd,701526.0,2010
vs,307392.0,2010
ne,171647.0,2010
ge,453292.0,2010
zh,1373068.0,2011
be,979802.0,2011
lu,377610.0,2011
ur,35422.0,2011
sz,146730.0,2011
ow,35585.0,2011
nw,41024.0,2011
gl,38608.0,2011
zg,113105.0,2011
fr,278493.0,2011
so,255284.0,2011
bl,184950.0,2011
bs,274404.0,2011
sa,76356.0,2011
ar,53017.0,2011
ai,15688.0,2011
sg,478907.0,2011
gr,192621.0,2011
ag,611466.0,2011
tg,248444.0,2011
ti,333753.0,2011
vd,713281.0,2011
vs,312684.0,2011
ne,172085.0,2011
ge,457715.0,2011
zh,1392396.0,2012
be,985046.0,2012
lu,381966.0,2012
ur,35382.0,2012
sz,147904.0,2012
ow,35885.0,2012
nw,41311.0,2012
gl,39217.0,2012
zg,115104.0,2012
fr,284668.0,2012
so,256990.0,2012
bl,186255.0,2012
bs,275360.0,2012
sa,77139.0,2012
ar,53313.0,2012
ai,15743.0,2012
sg,483156.0,2012
gr,193388.0,2012
ag,618298.0,2012
tg,251973.0,2012
ti,336943.0,2012
vd,725944.0,2012
vs,317022.0,2012
ne,173183.0,2012
ge,460534.0,2012
zh,1408575.0,2013
be,992617.0,2013
lu,386082.0,2013
ur,35693.0,2013
sz,149830.0,2013
ow,36115.0,2013
nw,41584.0,2013
gl,39369.0,2013
zg,116575.0,2013
fr,291395.0,2013
so,259283.0,2013
bl,187425.0,2013
bs,276537.0,2013
sa,77955.0,2013
ar,53438.0,2013
ai,15717.0,2013
sg,487060.0,2013
gr,193920.0,2013
ag,627340.0,2013
tg,256213.0,2013
ti,341652.0,2013
vd,734356.0,2013
vs,321732.0,2013
ne,174554.0,2013
ge,463101.0,2013
zh,1425538.0,2014
be,1001281.0,2014
lu,390349.0,2014
ur,35865.0,2014
sz,151396.0,2014
ow,36507.0,2014
nw,41888.0,2014
gl,39593.0,2014
zg,118118.0,2014
fr,297622.0,2014
so,261437.0,2014
bl,189335.0,2014
bs,278656.0,2014
sa,78783.0,2014
ar,53691.0,2014
ai,15778.0,2014
sg,491699.0,2014
gr,194959.0,2014
ag,636362.0,2014
tg,260278.0,2014
ti,346539.0,2014
vd,749373.0,2014
vs,327011.0,2014
ne,176402.0,2014
ge,469433.0,2014
zh,1446354.0,2015
be,1009418.0,2015
lu,394604.0,2015
ur,36008.0,2015
sz,152759.0,2015
ow,36834.0,2015
nw,42080.0,2015
gl,39794.0,2015
zg,120089.0,2015
fr,303377.0,2015
so,263719.0,2015
bl,190580.0,2015
bs,281301.0,2015
sa,79417.0,2015
ar,54064.0,2015
ai,15854.0,2015
sg,495824.0,2015
gr,195886.0,2015
ag,645277.0,2015
tg,263733.0,2015
ti,350363.0,2015
vd,761446.0,2015
vs,331763.0,2015
ne,177327.0,2015
ge,477385.0,2015
zh,1466424.0,2016
be,1017483.0,2016
lu,398762.0,2016
ur,35973.0,2016
sz,154093.0,2016
ow,37076.0,2016
nw,42420.0,2016
gl,40028.0,2016
zg,122134.0,2016
fr,307461.0,2016
so,266418.0,2016
bl,191817.0,2016
bs,283231.0,2016
sa,79836.0,2016
ar,54543.0,2016
ai,15974.0,2016
sg,499065.0,2016
gr,196610.0,2016
ag,653675.0,2016
tg,267429.0,2016
ti,351946.0,2016
vd,773407.0,2016
vs,335696.0,2016
ne,178107.0,2016
ge,484736.0,2016
zh,1487969.0,2017
be,1026513.0,2017
lu,403397.0,2017
ur,36145.0,2017
sz,155863.0,2017
ow,37378.0,2017
nw,42556.0,2017
gl,40147.0,2017
zg,123948.0,2017
fr,311914.0,2017
so,269441.0,2017
bl,193070.0,2017
bs,285624.0,2017
sa,80769.0,2017
ar,54954.0,2017
ai,16003.0,2017
sg,502552.0,2017
gr,197550.0,2017
ag,663462.0,2017
tg,270709.0,2017
ti,354375.0,2017
vd,784822.0,2017
vs,339176.0,2017
ne,178567.0,2017
ge,489524.0,2017
zh,1504346.0,2018
be,1031126.0,2018
lu,406506.0,2018
ur,36299.0,2018
sz,157301.0,2018
ow,37575.0,2018
nw,42969.0,2018
gl,40349.0,2018
zg,125421.0,2018
fr,315074.0,2018
so,271432.0,2018
bl,193908.0,2018
bs,287023.0,2018
sa,81351.0,2018
ar,55178.0,2018
ai,16105.0,2018
sg,504686.0,2018
gr,197888.0,2018
ag,670988.0,2018
tg,273801.0,2018
ti,353709.0,2018
vd,793129.0,2018
vs,341463.0,2018
ne,177964.0,2018
ge,495249.0,2018
